customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
1507408,Kai Gara,dbera@example.net,916643268606,"97/84, Dhaliwal Chowk
Firozabad-233621",Bangalore,478862,2024-03-21,Inactive,8,972.219970703125
1529180,Darsh Gokhale,randhawaaashi@example.com,912845073428,"406
Chanda Chowk
Jalandhar 950864",Bareilly,516534,2024-06-07,Inactive,5,596.5399780273438
1562083,Madhavi Mishra,inayabadal@example.net,915460239789,"49/31
Chahal Road, Jalna-373980",Bhopal,405442,2024-01-11,Premium,13,695.02001953125
1588560,Jeremiah Nath,faqidswaminathan@example.org,911110614819,"16/09
Setty Nagar, Gopalpur 225399",Anantapuram,900047,2023-12-01,New,10,945.1799926757812
1589656,Xiti Prabhu,maharajmitesh@example.org,918617173657,"H.No. 729, Raval
Sambalpur 817241",Gorakhpur,374983,2024-05-26,Premium,13,1548.760009765625
1601161,Chanchal Thakur,faras36@example.com,911872985129,"09/92
Oak Circle, Nandyal 041635",Amaravati,562508,2024-05-24,Inactive,1,589.3099975585938
1603358,Samaksh Randhawa,ubumb@example.com,915833938125,"H.No. 78, Palla
Sultan Pur Majra-672854",Gandhinagar,600850,2024-06-09,Inactive,5,1155.8699951171875
1624115,Saksham Atwal,meghaatwal@example.org,912435381855,"445, Pai
Haldia 442073",Kochi,487872,2023-10-26,New,2,331.1000061035156
1655637,Turvi Radhakrishnan,mpandit@example.org,919130065165,"H.No. 404, Bhalla Chowk
Visakhapatnam 048875",Ichalkaranji,548633,2023-09-17,Regular,19,723.9500122070312
1662375,Tanmayi Yohannan,indrajitdhillon@example.com,914153204014,"72, Saxena Marg
Bellary-326727",Tiruchirappalli,783266,2023-11-18,New,7,1350.81005859375
1683786,Urvashi Balan,simonkade@example.org,916376148431,"02/23
Dube Street, Bhagalpur 402715",Hajipur,775942,2023-09-12,Regular,14,776.52001953125
1697604,Arjun Deep,vedant34@example.net,915494808717,"H.No. 285
Gokhale Ganj, Chennai 327475",Bongaigaon,743452,2023-07-24,Regular,6,1970.1500244140625
1705969,Qasim Kalla,ekannan@example.com,915255620077,"56/445
Jayaraman Marg
Ichalkaranji-658913",Surat,962834,2024-05-23,Premium,20,877.0
1719710,Pushti Sabharwal,ramachandranharini@example.com,913657008587,"49, Halder Circle, Dindigul-895174",Giridih,798390,2023-06-26,New,2,1332.8199462890625
1771249,Samesh Devi,osant@example.org,912871168311,"95/77
Merchant Zila
Faridabad-209978",Bathinda,348054,2023-04-14,New,4,790.780029296875
1816969,Tejas Pillai,xsarin@example.org,918471946574,"74/97, Warrior Ganj
Tadepalligudem 137156",Vadodara,441464,2024-03-05,Premium,2,1902.68994140625
1855421,Jasmit Kibe,kabiranand@example.net,913618465633,"94
Lal Road, Satara 661110",Kadapa,608163,2023-06-30,Inactive,10,260.20001220703125
1989720,Anusha Bahri,hemanginigour@example.org,917371380072,"H.No. 78, Memon Marg, Bettiah-165769",Saharanpur,232753,2023-11-10,Inactive,6,239.75999450683594
2058037,Yutika Badal,biswastamanna@example.org,919780212360,"H.No. 88, Konda Chowk
Ahmednagar 017628",Rajkot,493628,2023-11-17,Inactive,11,1797.02001953125
2114782,Brinda Jha,bhardwajwyatt@example.com,917944628948,"H.No. 49
Pant
Gulbarga-778142",Solapur,803955,2023-05-29,Premium,3,1354.6600341796875
2134827,Vasudha Kalita,zaitra93@example.org,911088999128,"21/239
Bedi, Bettiah-618106",Ambarnath,863663,2023-10-22,New,10,1710.75
2136830,Bhavya Goswami,saxenamadhavi@example.net,916953143954,"09/73
Bath Street
Parbhani-673476",Bidhannagar,598513,2023-09-19,New,4,485.7799987792969
2164524,Kamala Natt,abha02@example.net,914518913172,"H.No. 130
Bhakta Chowk
Morbi-605758",Rohtak,398241,2023-04-16,Inactive,1,754.9500122070312
2188994,Bimala Mitra,uarora@example.net,919473010631,"01/27
Murthy Circle
Ratlam 179286",Patiala,635527,2023-10-26,Inactive,6,484.510009765625
2219590,Upadhriti Sandhu,comarmugdha@example.org,911603666274,"H.No. 054
Kala Chowk, Jamalpur-734290",Solapur,116736,2024-09-24,Regular,20,756.8400268554688
2233446,Wakeeta Pillay,handayashvi@example.com,918165594840,"H.No. 67, Sahota Circle
Kolkata-000516",Panihati,125919,2023-12-27,New,6,1466.449951171875
2234490,Amara Gala,gangasanghvi@example.com,914512666716,"43, Gole Zila
Hajipur 933661",Singrauli,529202,2024-08-07,Premium,8,1540.25
2361575,Aarnav Seth,banditeerth@example.org,914767930808,"H.No. 24
Mahal Circle
Guwahati-694378",Faridabad,160994,2023-09-14,New,19,1993.0899658203125
2365348,Zashil Varghese,rayaan71@example.net,918719140213,"H.No. 059, Swamy Ganj
Thoothukudi-956774",Siwan,119006,2024-09-23,Regular,11,1133.510009765625
2391900,Nisha Gokhale,priyasankaran@example.com,917827056456,"970
Oak Zila
Rajahmundry 305834",Bhagalpur,348478,2024-09-26,New,17,897.780029296875
2400009,Jonathan Korpal,liam03@example.org,917087853375,"22/29, Chowdhury Path, Karimnagar 950098",Amaravati,690370,2024-02-26,Premium,7,1328.3499755859375
2414265,Ayushman Bala,tkonda@example.net,910873876162,"H.No. 86
Dyal, Solapur-311874",Sultan Pur Majra,6805,2023-10-19,New,6,571.9199829101562
2442235,Pushti Bhattacharyya,qmaharaj@example.org,910324285991,"H.No. 38
Loyal Street
Vellore 607787",Latur,117097,2024-05-17,Premium,11,661.5800170898438
2457734,Onkar Garg,warhi85@example.com,914165510683,"51/82, Sathe Marg
Khora  495386",Ahmednagar,317271,2023-05-27,Premium,12,923.0599975585938
2517955,Charan Sharma,rsagar@example.org,919881295551,"512, Mani Chowk
Sikar-332566",Mathura,52692,2024-02-28,Regular,7,1625.43994140625
2558646,Vyanjana Dara,falakkunda@example.net,916023311219,"58/325, Pingle Path, Kavali-936272",Bhusawal,516102,2024-11-01,Premium,10,920.8900146484375
2566268,Arjun Ratta,santutkarsh@example.net,917102183787,"99/643
Muni
Karimnagar 116487",Mysore,644861,2023-12-04,Premium,16,1796.9599609375
2584499,Shivansh Tata,diya19@example.com,914402458047,"55/121, Grewal Circle, Mehsana-928447",Ludhiana,880262,2024-09-13,Regular,2,1686.8599853515625
2667357,Nathan Kaul,godavarenya@example.com,910778074188,"81/284
Gopal Chowk, Rajkot-722713",Guntakal,819570,2024-06-13,Premium,6,1516.6700439453125
2684440,Hamsini De,yashodharaanne@example.org,910537727849,"28/37, Radhakrishnan
Kakinada 773718",Ranchi,574868,2023-09-05,Premium,5,650.5999755859375
2848415,Anika Raja,ukamdar@example.org,914449473640,"71/451, Sura Road, Nanded 621248",Aurangabad,529864,2024-07-13,Inactive,9,1798.1300048828125
2875442,Arunima Vyas,buchayushman@example.net,915969178797,"176, Krishnamurthy
Ramgarh 170370",Bettiah,68994,2023-07-19,Premium,19,1858.800048828125
2903620,Bahadurjit Rama,faraj37@example.com,910991674238,"418, Desai Chowk, Tiruvottiyur 558463",Proddatur,495945,2024-05-11,New,11,1815.06005859375
2928026,Vrishti Basak,gautamisrinivasan@example.com,915081846964,"H.No. 40, Sekhon Chowk
Ajmer 858814",Ahmedabad,960708,2024-03-20,New,9,280.45001220703125
3002538,Sanya Sule,watikasachar@example.net,911024214855,"H.No. 335
Pathak Ganj, Ramagundam-658342",Sonipat,755769,2024-07-10,Inactive,14,489.9100036621094
3096845,Yashvi Chander,saksham67@example.com,914918237687,"H.No. 43, Swaminathan
Mau-891182",Guntakal,853373,2023-10-22,New,20,336.80999755859375
3100301,Wazir Saini,ishani86@example.com,915270787774,"770, Oommen
Orai-371934",Bathinda,892652,2023-06-19,New,1,1530.27001953125
3282647,Warda Pal,csinha@example.net,911556032698,"39/439, Natt
Lucknow 617952",Unnao,736234,2024-01-15,Premium,18,608.27001953125
3292927,Nisha Iyer,vdalia@example.org,910256207668,"H.No. 13, Dash Path, Bhatpara-468793",Rewa,320465,2024-01-12,New,6,1795.719970703125
3399251,Ekalinga Bhatt,karinakul@example.org,911258273127,"H.No. 246, Narasimhan Nagar, Anand 951847",Solapur,498701,2023-05-03,New,20,937.1099853515625
3408982,Tripti Chakraborty,abhiramkunda@example.org,910686600788,"19, Dara Zila
Aligarh 920735",Bhatpara,119108,2023-07-01,Premium,5,656.969970703125
3410758,Qabil Salvi,gandhibhavya@example.net,918055425835,"16/72, Jhaveri Road
Hubli–Dharwad 657248",Hazaribagh,293062,2023-07-16,Regular,1,1892.510009765625
3421258,Ishita Chaudhuri,tara78@example.com,915568926763,"17/31, Dora Chowk
Erode-651124",Kota,192064,2024-06-19,Premium,19,806.6199951171875
3468355,Chameli Subramanian,lekhanarula@example.org,918771303133,"73/891
Tailor Nagar
Raiganj-161841",Pune,427282,2024-06-02,New,12,1734.510009765625
3483295,Maya Nath,nmadan@example.org,910519561559,"573
Devi Ganj
Rajahmundry 145523",Imphal,632918,2024-03-08,Inactive,5,1334.489990234375
3491230,Ucchal Chana,bariabina@example.org,914634268253,"52/516, Khalsa Zila
Kota-913116",Khora ,876370,2023-06-01,New,14,226.6199951171875
3588443,Yashica Pingle,nakul94@example.org,918446914302,"63/847
Garg, Gwalior 577648",Rohtak,586174,2024-04-11,Premium,20,1727.1800537109375
3638834,Falan Nayak,garaveer@example.com,915780823790,"38/514, Deo Zila, Morbi 793612",Warangal,563073,2023-07-08,Premium,16,1142.06005859375
3660263,Jagdish Bains,qsrinivas@example.org,913911005064,"787
Bora Circle, Madurai 132549",Phagwara,202676,2023-05-27,Regular,10,1573.9100341796875
3730316,Ishanvi Shankar,daksha35@example.org,912906397510,"356
Mohan Nagar
Cuttack-228642",Berhampore,968515,2023-03-20,Regular,10,215.72000122070312
3786105,Ojas Sankaran,jyoti35@example.net,918374055039,"H.No. 66
Mahajan Chowk, Yamunanagar 911948",Kirari Suleman Nagar,288478,2024-06-02,New,13,1172.3199462890625
3844290,Yashawini Thaman,kohliwyatt@example.com,915485602730,"H.No. 37, Patla Circle
Madurai 325088",Berhampore,88516,2023-10-29,Inactive,2,301.7300109863281
3872421,Ladli Saran,virkfalak@example.com,919969818495,"H.No. 56
Date Circle
Uluberia-147880",Panvel,973220,2023-07-06,Premium,3,1468.97998046875
3875480,Harshil Mital,qnarula@example.com,918582878676,"58
Chaudhry Zila
Bhind 676771",Berhampur,743842,2024-05-26,Inactive,8,1863.489990234375
3893903,Bimala Sura,aradhanaganesh@example.net,919430583987,"H.No. 05, Balay Zila, Hazaribagh 973916",Bathinda,546301,2023-03-23,New,20,1922.7099609375
3897936,Maanav Singh,unnikarpe@example.com,911787157542,"H.No. 954, Subramaniam Circle
Mangalore-854236",Pudukkottai,100457,2023-09-26,Premium,14,215.16000366210938
3999964,Ansh Minhas,nbir@example.net,911642384127,"H.No. 82, Madan Road
Jalandhar-138003",Orai,33590,2023-08-08,Premium,15,1147.010009765625
4055790,Noah Malhotra,dkannan@example.net,915394267346,"H.No. 71
Bhatia Ganj
Kavali 971275",Jamnagar,170135,2023-11-14,Regular,13,1178.81005859375
4057678,Brijesh Khalsa,rrai@example.org,919640449299,"96/44, Bhargava
Bikaner 112116",Kadapa,383118,2023-05-27,Inactive,19,882.6300048828125
4192351,Leela Date,vbalasubramanian@example.net,915977123356,"H.No. 10
Banik Ganj, Kavali-006107",Nandyal,871014,2024-01-20,Inactive,17,625.3599853515625
4200802,Chakrika Gaba,ekavir26@example.net,916706188692,"20
Gokhale Chowk, Fatehpur-880669",Ramgarh,860603,2023-11-15,Inactive,10,678.9600219726562
4356173,Jalsa Khatri,mahajanbakhshi@example.org,911963988928,"48, Patla Ganj, Avadi 838391",Rajkot,763603,2024-09-10,New,9,1838.56005859375
4378755,Oscar Ratta,wguha@example.com,916824800377,"18/375, Ramachandran Circle
Karnal 455818",Pali,583209,2023-11-10,Premium,2,1144.9000244140625
4386273,Jagrati Sengupta,pandeymahika@example.org,911622184828,"20, Jayaraman Zila
Khora -207127",Nandyal,494307,2024-06-26,Inactive,12,298.9700012207031
4394659,Xalak Goel,thakurmitali@example.org,915366984594,"69/41, Sen Nagar
Bhagalpur-361305",Pune,92392,2023-08-25,New,7,291.7699890136719
4438410,Siya Mittal,kdara@example.net,918260180919,"09/37
Gulati Chowk, Kanpur 441894",Panipat,368597,2024-10-17,Inactive,11,1868.7099609375
4439806,Balendra Sethi,johalmadhavi@example.net,912826946272,"89/706, Grewal Street, Jalgaon-268348",Mathura,838796,2024-04-19,New,7,790.5900268554688
4444673,Chatresh Patla,owenkhatri@example.net,915269995631,"H.No. 70
Kade Marg
Mysore 259029",Srikakulam,440337,2023-06-24,New,15,584.6900024414062
4458329,Nimrat Sandal,manyachatterjee@example.net,914812159247,"85/452
Khatri
Jammu 831625",Mira-Bhayandar,842142,2024-07-01,Inactive,10,1617.0
4543215,Farhan Soni,binakala@example.com,910054329885,"84/481
Gupta Marg
Kolhapur-377160",Satna,339165,2023-10-21,Premium,6,526.7000122070312
4545935,Aayush Ahluwalia,jagdish37@example.org,910925597899,"42, Bajwa Road, Nadiad-839395",Warangal,731038,2024-08-06,Regular,7,1931.0999755859375
4594944,Hardik Mane,abduldara@example.org,914830114630,"10/82
Sur Zila
Dibrugarh 044825",Cuttack,599557,2024-03-26,Inactive,12,857.1300048828125
4597433,Lipika Kumer,faras46@example.org,917227252187,"H.No. 038, Devan Path, Bally-571011",Tadepalligudem,580130,2024-04-02,Inactive,3,821.8400268554688
4606533,Anusha Bhagat,triya55@example.org,917200860742,"14
Bhagat Path
Shivpuri 856011",Rajpur Sonarpur,696982,2024-07-30,Premium,11,704.1400146484375
4618801,David Saran,dalbir79@example.org,915688841303,"24, Dayal Chowk
Avadi 300543",Jodhpur,869099,2023-11-16,Premium,11,201.55999755859375
4758426,Qushi Dash,contractorurishilla@example.org,916166771196,"78
Jha Zila
Chandrapur 263897",Vijayawada,415274,2024-01-06,New,14,448.80999755859375
4789829,Balvan Shah,fbala@example.net,911177117983,"H.No. 65, Gill Circle, Sambhal-800756",Rourkela,313467,2024-11-02,Regular,6,229.75999450683594
4849477,Caleb Ram,leenamahal@example.com,911527293843,"H.No. 984
Chaudhry Street
Alwar-501673",Hosur,328080,2023-07-22,Premium,19,1782.3499755859375
4862761,Maya Chatterjee,quincyacharya@example.net,917319006066,"45, Sachar Ganj, Imphal 709402",Eluru,153679,2023-08-31,Premium,20,477.19000244140625
4869199,Advik Bajwa,mahikakakar@example.org,914975057976,"785, Mital Chowk
Naihati 597518",Siwan,803941,2024-10-16,New,7,1695.800048828125
4940671,Sarthak Doshi,fariq53@example.org,910560446881,"42, Mand Nagar
Kolkata-949731",Silchar,431653,2024-06-17,Inactive,7,494.0299987792969
4988545,Prisha Jha,urvibuch@example.net,915879557112,"82/952, Behl Street
Sikar 557241",Anantapuram,576389,2023-04-06,Regular,10,1251.780029296875
5001749,Dayamai Chanda,ekta28@example.com,917870905337,"H.No. 218
Srinivas Road, Kalyan-Dombivli-797929",Kota,761952,2023-06-06,Inactive,3,1623.47998046875
5009458,Yasti Choudhary,diyabal@example.com,912821245830,"H.No. 14
Yogi Marg, Noida-862686",Thiruvananthapuram,525644,2023-08-17,Inactive,7,1712.1400146484375
5039883,Gavin Garg,nitesh75@example.org,911177506972,"H.No. 872
Oza Marg
Hazaribagh 512058",Purnia,360444,2023-12-19,Inactive,15,610.989990234375
5043760,Chatresh Dara,dsinghal@example.org,919498451461,"93, Bansal Road
New Delhi 109118",Davanagere,638623,2023-11-28,Regular,2,1154.93994140625
5135207,Xalak Mittal,libnikonda@example.com,911767908819,"H.No. 46, Thakur Street
Gurgaon 146541",Moradabad,383404,2023-08-24,Premium,3,1438.22998046875
5140660,Tripti Loke,anika70@example.com,916100622779,"25, Oommen Road, Gandhidham 607310",Akola,164050,2023-08-18,Inactive,17,908.6799926757812
5226128,Wridesh Mander,samakshshere@example.org,911346830780,"02/758, Garg Zila, Tinsukia-257738",Bhimavaram,227013,2024-03-09,New,10,1049.0999755859375
5228136,Oeshi Mallick,hardikkrishna@example.org,919869824720,"H.No. 16, Krishnan Marg
Naihati-647090",Ambarnath,314449,2024-09-30,Premium,19,500.1700134277344
5238055,Chandani D’Alia,sahninandini@example.net,910748552789,"H.No. 37
Balakrishnan, Raurkela Industrial Township-608642",Guntur,745044,2024-01-29,Regular,3,1166.6700439453125
5277675,Vansha Deol,hariaarna@example.net,919054309336,"H.No. 03, Natt Circle, Karnal 408909",Ghaziabad,373380,2024-10-22,Premium,9,1312.800048828125
5369136,Yasti Wagle,pantmaanas@example.com,916386080438,"46
Jayaraman Road, Eluru-026437",Ambala,927996,2024-09-11,Regular,8,311.45001220703125
5386246,Oeshi Dhillon,mallmaya@example.com,919401691011,"41/05
Cheema Marg, Durg-626411",Kadapa,956529,2023-05-19,Inactive,5,1741.4200439453125
5418547,Qushi Devi,swaminathanshaurya@example.org,917170962386,"132
Amble Ganj, Pimpri-Chinchwad-532902",Pune,122989,2023-08-27,Regular,20,1693.6300048828125
5540556,Lakshit Balan,gunbirpillai@example.org,914805774586,"508, Dixit Zila
Nashik-521010",Gangtok,166077,2023-08-28,Regular,13,273.4700012207031
5607734,Riya Batta,mandermitesh@example.net,913704344104,"H.No. 604, Kata Road
Khandwa 364539",Jamshedpur,260720,2024-09-01,Premium,8,603.4400024414062
5700842,Waida Trivedi,garimashere@example.net,918580013945,"H.No. 68, Tara Road, Surendranagar Dudhrej 454893",Amravati,864006,2024-09-11,Regular,3,514.0599975585938
5712468,Zinal Shan,farisbadal@example.net,918793620316,"62
Karan Zila, Patna 168894",Thanjavur,858342,2024-03-25,Inactive,3,872.5700073242188
5716817,Xalak Master,pandeyadvik@example.com,910206300476,"H.No. 47
Saran Ganj
Shimoga-583550",Aurangabad,378247,2024-03-11,Inactive,3,1607.050048828125
5751638,Xiti Wagle,darshmunshi@example.net,916525678909,"H.No. 571
Borah Marg
Sri Ganganagar-467229",Aligarh,589333,2024-09-11,New,14,1230.3800048828125
5754255,Radha Rana,kritika79@example.org,914135557233,"34/71, Wable Nagar, Bally 321844",Mango,547754,2023-11-12,Inactive,1,1050.739990234375
5763963,Chandran Seth,yashoda79@example.net,914781329513,"17/902
Mital Road
Kharagpur-793062",Pimpri-Chinchwad,773179,2023-03-30,Regular,12,1118.8199462890625
5901440,Faris Chopra,waida01@example.org,917602917789,"H.No. 50
Rastogi Path
Mehsana-686891",Sambhal,719965,2024-05-16,Premium,8,761.1699829101562
5961261,Vrishti Memon,brijeshwable@example.net,918367807648,"66/405
Talwar Ganj, Tiruchirappalli-116372",Varanasi,113744,2023-06-28,Premium,17,309.7900085449219
6025470,Isaac Mander,rdixit@example.com,912510629805,"57/46
Solanki Street
Jammu 135323",Sagar,644361,2024-08-17,Premium,12,1599.3900146484375
6061349,Gautami Trivedi,iryasarin@example.org,918375797986,"H.No. 03
Dasgupta Marg
Ozhukarai 426511",Haldia,987109,2024-03-17,Regular,17,332.0299987792969
6081270,Caleb Sane,diptagour@example.net,915268329172,"009
Loyal Marg
Udaipur 582796",Gaya,603031,2024-08-17,Inactive,15,969.510009765625
6150721,Vaishnavi Master,ldeshpande@example.org,917601993410,"82/547
Deep Road
Phusro-585053",Panihati,15615,2023-11-07,New,2,1705.1700439453125
6184558,Gaurang Grewal,jpalan@example.net,913522405840,"51/040, Mittal Chowk
Salem-548267",Tezpur,80875,2023-06-06,Regular,1,1352.969970703125
6186471,Dominic Koshy,choprachanchal@example.org,915606658365,"22/739
Sachdev Ganj
Madanapalle-093707",Chittoor,410608,2024-09-18,New,17,1619.949951171875
6187807,Jairaj Tata,paivritti@example.net,913518436146,"H.No. 361, Sunder Chowk
Jalgaon 205509",Dindigul,921070,2023-08-24,New,10,1962.9200439453125
6245778,Reva Shanker,edhitha04@example.org,915282895141,"H.No. 716
Ram Marg, Kakinada 548086",Guntakal,850565,2024-01-11,Premium,17,1779.4599609375
6247821,Mekhala Vora,gardequincy@example.org,917852965877,"08/563, Sane Circle, Khora -425505",Panvel,691869,2023-07-15,Regular,15,1832.5799560546875
6291143,Banjeet Oak,abhatia@example.com,917842043541,"56/942
Rajan Road
Mysore 031754",Yamunanagar,135844,2023-08-05,Inactive,19,1934.3699951171875
6319646,Rehaan Suresh,ryan15@example.com,915773547026,"38, Chandran Chowk
Phusro 940532",Udupi,413954,2024-02-20,Regular,9,518.1699829101562
6335221,Lajita Loyal,vedhikagulati@example.com,917625044170,"83
Shukla Zila
Bhagalpur 663970",Rajpur Sonarpur,713686,2024-01-05,Premium,20,1518.8299560546875
6344345,Shaurya Chhabra,samarjhaveri@example.net,915052725276,"074
Saha Street, Erode-682888",Burhanpur,789598,2024-10-03,Premium,19,1110.1099853515625
6344788,Max Mandal,sanya24@example.com,919223902556,"61
Kata Nagar
Nagpur 188136",Bareilly,879635,2024-02-15,Premium,9,1058.6600341796875
6367136,Yashica Jayaraman,kmane@example.org,910288989871,"47/70
Kalita Road
Jalgaon-197155",Rohtak,337064,2024-02-17,Regular,18,1662.43994140625
6390687,Shivansh Dasgupta,watika26@example.net,911505305250,"08/37, Singh Zila
Aizawl-112143",Alwar,733851,2024-08-23,Regular,5,1340.7900390625
6398761,Kabir Kala,pallafaris@example.com,918169750825,"H.No. 80
Konda Nagar
Eluru 082402",Naihati,350456,2024-08-10,Inactive,2,1701.1500244140625
6459100,Shivansh Mand,gaurav29@example.com,910122930874,"145, Arora Ganj
Karaikudi-304218",Agra,85316,2024-10-04,Premium,19,1193.5699462890625
